ID,Colonia,Alcaldía,Latitud,Longitud,Puntos_de_acceso,Programa
13831,TACUBA,MIGUEL HIDALGO,19.45392,-99.18883,1,Postes_C5
13832,TACUBAYA,MIGUEL HIDALGO,19.40370,-99.19073,1,Postes_C5
13833,TACUBAYA,MIGUEL HIDALGO,19.40137,-99.19150,1,Postes_C5
13834,TACUBAYA,MIGUEL HIDALGO,19.39838,-99.18789,1,Postes_C5
13835,TACUBAYA,MIGUEL HIDALGO,19.39848,-99.18642,1,Postes_C5
13836,TACUBAYA,MIGUEL HIDALGO,19.39977,-99.18881,1,Postes_C5
13837,TACUBAYA,MIGUEL HIDALGO,19.40148,-99.19208,1,Postes_C5
13838,LOMAS DE SOTELO 2285,MIGUEL HIDALGO,19.44946,-99.21090,1,Postes_C5
13839,TLAXPANA,MIGUEL HIDALGO,19.44017,-99.16969,1,Postes_C5
13840,TLAXPANA,MIGUEL HIDALGO,19.43852,-99.17170,1,Postes_C5
13841,TLAXPANA,MIGUEL HIDALGO,19.44189,-99.17104,1,Postes_C5
13842,TLAXPANA,MIGUEL HIDALGO,19.44200,-99.16772,1,Postes_C5
13843,TLAXPANA,MIGUEL HIDALGO,19.44082,-99.16841,1,Postes_C5
13844,TLAXPANA,MIGUEL HIDALGO,19.44340,-99.16780,1,Postes_C5
13845,TLAXPANA,MIGUEL HIDALGO,19.44127,-99.16908,1,Postes_C5
13846,TLAXPANA,MIGUEL HIDALGO,19.44166,-99.16884,1,Postes_C5
13847,TLAXPANA,MIGUEL HIDALGO,19.44215,-99.16950,1,Postes_C5
